DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2014,2121.111,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2015,1846.715,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2016,1291.348,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2017,875.589,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2018,767.587,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2019,473.346,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2020,510.965,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2021,717.179,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2013,3025.718,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2014,3637.045,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2015,4226.486,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2016,4856.492,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2017,5536.329,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2018,6477.732,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2019,7421.022,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2020,7180.350,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SE,2021,8773.004,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SI,2013,142.672,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SI,2014,148.155,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SI,2015,161.195,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SI,2016,162.807,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SI,2017,171.332,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,SI,2018,154.519,
